"","First_Name_Middle","Last_Name","Office_FilerType","Report_Type","Date_Received_Filed","Transaction_Date","Owner","Ticker","Asset_Name","Asset_Type","Transaction_Type","Amount","Comment"
"8118","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 09/17/2014","09/17/2014",2014-09-09,"Self","FEYE","FireEye, Inc. (NASDAQ)","Unknown","Purchase","$1,001 - $15,000","--"
"8119","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 05/10/2017","05/10/2017",2017-05-05,"Joint","NXPI","NXP Semiconductors N.V.","Stock","Sale (Full)","$1,001 - $15,000","--"
"8120","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 05/10/2017","05/10/2017",2017-05-05,"Self","NXPI","NXP Semiconductors N.V.","Stock","Sale (Full)","$1,001 - $15,000","--"
"8121","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 03/04/2015","03/04/2015",2015-03-03,"Joint","MYL","Mylan, Inc. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
"8122","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 03/04/2015","03/04/2015",2015-03-03,"Joint","ACT","Actavis plc (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"8123","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 03/04/2015","03/04/2015",2015-03-03,"Self","AMAT","Applied Materials, Inc. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
"8124","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 03/04/2015","03/04/2015",2015-03-03,"Self","ACT","Actavis plc (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"8125","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 08/27/2014","08/27/2014",2014-08-19,"Joint","CELG","Celgene Corporation (NASDAQ)","Unknown","Purchase","$1,001 - $15,000","--"
"8126","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 08/27/2014","08/27/2014",2014-08-19,"Self","CELG","Celgene Corporation (NASDAQ)","Unknown","Purchase","$1,001 - $15,000","--"
"8127","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 01/04/2017","01/04/2017",2016-12-16,"Joint","ZBH","Zimmer Biomet Holdings, Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"8128","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 01/04/2017","01/04/2017",2016-12-16,"Self","ZBH","Zimmer Biomet Holdings, Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"8129","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 03/14/2016","03/14/2016",2016-03-03,"Self","NCR","NCR Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"8130","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 08/07/2014","08/07/2014",2014-07-28,"Joint","XLNX","Xilinx Inc. (NASDAQ)","Unknown","Purchase","$1,001 - $15,000","--"
"8131","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 08/07/2014","08/07/2014",2014-07-28,"Joint","VWO","Vanguard Emerging Markets Stock Idx ETF","Unknown","Purchase","$1,001 - $15,000","--"
"8132","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 08/07/2014","08/07/2014",2014-07-28,"Joint","EEM","iShares MSCI Emerging Markets","Unknown","Purchase","$1,001 - $15,000","--"
"8133","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 08/07/2014","08/07/2014",2014-07-28,"Joint","ALTR","Altera Corp. (NASDAQ)","Unknown","Purchase","$1,001 - $15,000","--"
"8134","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 08/07/2014","08/07/2014",2014-07-28,"Joint","XRT","SPDR S&P Retail ETF","Unknown","Sale (Partial)","$1,001 - $15,000","--"
"8135","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 02/01/2017","02/01/2017",2017-01-18,"Self","QCOM","QUALCOMM Incorporated","Stock","Sale (Partial)","$1,001 - $15,000","--"
"8136","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 02/01/2017","02/01/2017",2017-01-18,"Self","NXPI","NXP Semiconductors N.V.","Stock","Sale (Partial)","$1,001 - $15,000","Sale was less than $1000."
"8137","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 02/01/2017","02/01/2017",2017-01-18,"Joint","QCOM","QUALCOMM Incorporated","Stock","Sale (Partial)","$1,001 - $15,000","Sale was less than $1000."
"8138","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 02/01/2017","02/01/2017",2017-01-18,"Joint","NXPI","NXP Semiconductors N.V.","Stock","Sale (Partial)","$1,001 - $15,000","Sale was less than $1000."
"8139","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 02/21/2017","02/21/2017",2017-01-31,"Joint","PEP","Pepsico, Inc.","Stock","Sale (Partial)","$1,001 - $15,000","Less than $1001."
"8140","John F","Reed","Reed, John F. (Senator)","Periodic Transaction Report for 02/21/2017","02/21/2017",2017-01-31,"Self","PEP","Pepsico, Inc.","Stock","Sale (Partial)","$1,001 - $15,000","--"
